Tel,Livesp,District,Floor,Bal,Price,lon,Walk,Kitsp,rooms,Metrodist,Totsp,lat,New,Brick,N,NFloor
1,0,0,5,0,410913100,37.602813,1,0,4,11,305.0,55.738622,0,1,144380567,6
1,35.0,0,6,0,25500000,37.591512,1,0,2,10,53.0,55.753068,0,0,150554079,24
0,0,0,4,0,73020000,37.641845,1,0,3,12,121.7,55.739407,0,0,142204996,7
0,17.3,0,2,0,4814581,37.672163,1,0,1,5,17.3,55.776294,0,1,150346368,6
0,0,0,2,0,4814581,37.672163,1,0,1,5,17.3,55.776294,0,0,148567438,5
0,0,0,5,0,5377566,37.672163,1,0,1,5,18.3,55.776294,0,0,149023045,5
0,18.3,0,5,0,5377566,37.671938,1,0,1,6,18.3,55.775753,0,0,149031321,0
0,23.7,0,2,0,5496232,37.672163,1,0,1,5,23.7,55.776294,0,1,148794719,6
1,20.0,0,1,0,5500000,37.673214,1,0,1,4,32.0,55.730101,0,0,150640194,9
0,18.0,0,1,0,5700000,37.539527,1,0,1,2,33.0,55.752035,0,0,150777262,5
1,15.6,0,3,1,5990000,37.522477,0,0,1,5,29.0,55.756356,0,1,150165274,5
1,16.0,0,3,1,5999000,37.522477,0,0,1,0,30.0,55.756356,0,1,149849414,5
0,20.0,0,1,0,6000000,37.522998,1,0,1,13,35.0,55.753387,0,0,149300855,12
1,20.0,0,12,1,6100000,37.677301,1,0,1,10,36.0,55.737988,0,0,149727197,12
0,20.0,0,1,1,6200000,37.689042,1,0,1,10,37.4,55.775793,0,0,149565205,1
0,0,0,4,0,6258687,37.672163,1,0,1,5,25.5,55.776294,0,0,148708005,4
0,25.5,0,4,0,6258687,37.671938,1,0,1,6,25.5,55.775753,0,0,149031382,0
0,32.6,0,2,0,6285999,37.671938,1,0,1,6,32.6,55.775753,0,0,149031327,0
1,18.0,0,1,0,6300000,37.685099,0,0,1,12,35.0,55.778522,0,0,150463857,4
0,29.5,0,3,0,6325576,37.67228,1,0,1,5,29.5,55.775824,0,1,148800467,6
0,0,0,3,0,6325576,37.672163,1,0,1,5,30.0,55.776294,0,0,149023309,4
1,21.0,0,2,1,6350000,37.558796,1,0,1,12,34.0,55.770613,0,1,148112883,5
